name,ann,vol,sharpe,sortino,mdd,calmar,n_mean,n_median,n_p25,n_p75,n_min,max_single_share_p95,max_single_share_avg,gross_avg
top28 + adx12 + ac0.35,0.12038233736295245,0.07103327681260758,1.6360792261022472,2.475317678565553,-0.05359137551980185,2.246300569733866,24.68384074941452,28.0,26.0,28.0,0.0,0.09478672985781991,0.0577233251328472,0.9494162963140189
EW overlay top15,0.12728069967952815,0.07669062912599119,1.6009142005473913,2.2937484107727646,-0.06807312720838407,1.8697642505815704,13.745901639344263,15.0,15.0,15.0,0.0,0.1,0.07672349437405414,0.9029274004683838
EW overlay top22,0.12148265443100681,0.0729490752701453,1.6084699516088645,2.3412074285979694,-0.06659576564618833,1.8241798596689005,18.83138173302108,22.0,18.0,22.0,0.0,0.1,0.06033814025541375,0.9029274004683842
EW overlay top28,0.12930406973961306,0.07190101357851925,1.7275615725386106,2.54505744891519,-0.06395521870481383,2.0217907523140175,21.149882903981265,23.0,18.0,27.0,0.0,0.1,0.05622574240837524,0.9029274004683844
CAND-A + 5% TLT/GLD,0.2060836768165526,0.08264303608213364,2.3094096177418963,3.540975923585922,-0.06073813889269722,3.3929863603596657,11.793911007025761,12.0,12.0,13.0,2.0,0.23638232271323367,0.129893597368189,0.9294530940872339
CAND-A + 8% TLT/GLD,0.20265040495803865,0.08071768400913484,2.327209739670163,3.5723721862146514,-0.05808319795373998,3.488967758273888,11.793911007025761,12.0,12.0,13.0,2.0,0.22133015642362658,0.12878009159219367,0.9217040830035048
CAND-A + 10% TLT/GLD,0.20029204377821141,0.07951883601574462,2.3363880136654696,3.590332626023318,-0.056309931713464954,3.5569576748450777,11.793911007025761,12.0,12.0,13.0,2.0,0.21552104442026812,0.12817951619466902,0.9161194455240756
CAND-A + 15% TLT/GLD,0.1938317944586856,0.0768644571269325,2.344116557428229,3.615092548635762,-0.05186517623733862,3.737224251812005,11.67096018735363,12.0,12.0,13.0,2.0,0.2052590019835545,0.12623412693688216,0.9011607061576679
CAND-A + 20% TLT/GLD,0.18716830803845985,0.07476168278062538,2.3330023469645456,3.6165564243153563,-0.04811497123022484,3.8900222374212823,11.784543325526933,12.0,12.0,13.0,2.0,0.19657525152920144,0.13149934588399292,0.896880115672218
CAND-A + 8% TLT/GLD/DBMF,0.20094889927859927,0.08076130015898325,2.3084551486341174,3.5198913447846025,-0.06032316290103416,3.3312062832029365,12.466042154566745,13.0,12.0,14.0,3.0,0.21635991820039263,0.12335083794048295,0.9230265653680096
CAND-A + 12% TLT/GLD/DBMF,0.1953997103413847,0.07821001359004731,2.3219139265496334,3.536769501926481,-0.057902763567983545,3.374618037219695,12.466042154566745,13.0,12.0,14.0,3.0,0.215097387611912,0.12347869702748421,0.9130201681328372
CAND-A + 15% TLT/GLD/DBMF/WTMF,0.19116059600316437,0.07666940679679142,2.320650623111295,3.5404214834898755,-0.05706839203922011,3.3496755239185596,13.037470725995316,14.0,13.0,14.0,4.0,0.18886452241714544,0.1219025866454426,0.9070764807582625
CAND-A + 10% DBMF/WTMF,0.19414299281958058,0.08015127854822336,2.2544580921745854,3.452331045432758,-0.0630238502015946,3.0804686193968593,11.585480093676814,12.0,12.0,13.0,2.0,0.21703468643261484,0.13296475160838034,0.9112311360009612
CAND-A + 15% DBMF/WTMF,0.18393414068149072,0.07716424881468624,2.227349120014218,3.411323710715518,-0.06192710019634391,2.970172026436173,11.462529274004684,12.0,11.0,13.0,2.0,0.2069542997904221,0.13244115300381334,0.8907788335295141
CAND-A + 12% TLT/GLD/DBMF/VGSH,0.19411088174821667,0.07759374503205178,2.3258240482044528,3.547587458168958,-0.05764398577716901,3.3674090910121963,13.2096018735363,14.0,13.0,15.0,4.0,0.19529436152569715,0.11810475217218182,0.9211199452963788
CAND-A + 10% SPY/IWM/QQQ,0.19841290600414552,0.08464623194488428,2.1813044169096982,3.36741884307626,-0.0663403676046933,2.990832176065733,11.90983606557377,13.0,12.0,13.0,2.0,0.2190586679306215,0.12309019376003319,0.9127328791102581
CAND-A + 16% wide-8,0.19004231286638773,0.07704503542770827,2.2975124522992085,3.5043072054431765,-0.05562548760139426,3.416461069576751,16.291569086651055,17.0,16.0,18.0,8.0,0.125,0.10650958624718067,0.9250441382205435
CAND-A + 20% wide-8,0.18466115255773086,0.07500580829277766,2.2974512438629686,3.502341820631607,-0.05323914535418379,3.4685221058534386,16.291569086651055,17.0,16.0,18.0,8.0,0.12541102841527943,0.10550876369315279,0.9212856788071034
CAND-A + 20% wide-10,0.18169553330823307,0.07376018047115687,2.300989505431468,3.5135130223566304,-0.05317586555210417,3.4168796581260983,17.04215456674473,17.0,16.0,18.0,9.0,0.12368667578742455,0.1043472400090681,0.9028785276365623
CAND-A + 25% wide-10,0.17426723921440024,0.07095017191895137,2.3003261972386833,3.5074823590266146,-0.050169903788661985,3.473541427316496,17.04215456674473,17.0,16.0,18.0,9.0,0.12800542617018848,0.10315305146720144,0.8935797672002604
CAND-A + 12% TLT/GLD/DBMF/VGSH (4-asset),0.19411088174821667,0.07759374503205178,2.3258240482044528,3.547587458168958,-0.05764398577716901,3.3674090910121963,13.2096018735363,14.0,13.0,15.0,4.0,0.19529436152569715,0.11810475217218182,0.9211199452963788
CAND-A + 20% wide-14,0.18021553956346303,0.07394612640848602,2.2784292092923564,3.4840678658392643,-0.05459364918054692,3.3010348688630677,19.370023419203747,20.0,18.0,21.0,12.0,0.11977210114676738,0.10124991981729727,0.8985292469406774
CAND-A + 25% wide-14,0.1724354279768887,0.07111949962651616,2.2730519635631516,3.4785476014833807,-0.05194658276893197,3.31947586896935,19.370023419203747,20.0,18.0,21.0,12.0,0.1190229887509118,0.09896757067420306,0.8881431663304045
CAND-A + 30% wide-14,0.16468782943616334,0.06840048485361466,2.2636528880839264,3.4699533980217616,-0.04929365524523674,3.340953893900517,19.370023419203747,20.0,18.0,21.0,12.0,0.11799036435797974,0.0971655754041323,0.8777570857201318
