name,ann_oos,vol_oos,sharpe_oos,sortino_oos,mdd_oos,calmar_oos,sharpe_full,mdd_full,gross_avg,gross_max,days_over_1x
top11 + ac0.45,0.19836231910383328,0.0823056939633697,2.2404458293789538,3.4305455678876595,-0.06387845220289853,3.105308789789876,1.7114477219664483,-0.08924413043394765,0.8173938676680259,1.0000000000000002,0
top11 + ac0.50,0.19893475010186745,0.08274500007934643,2.2347637276721257,3.4256544592163225,-0.06492654175049803,3.063997322795057,1.698658993983919,-0.09085396242343266,0.8210970967437609,1.0000000000000002,0
top11 + ac0.45 + gf0.90,0.1973317476262202,0.08167974029500186,2.246447373246479,3.43578749673816,-0.062378080076802254,3.1634790199258758,1.7118058042514768,-0.0882773521418109,0.8055978410327563,1.0000000000000002,0
top11 + ac0.45 + mom84,0.19900743279861022,0.0825244441409115,2.2412505546732837,3.436139475874489,-0.06522602178760048,3.0510435458818934,1.7149084287593441,-0.0900089397396882,0.8172884827381376,1.0000000000000002,0
top10 + ac0.45 + mom84 + gf0.90,0.19436905179462238,0.0799513716493697,2.262262035512637,3.371056195284042,-0.051249128988747804,3.7926313213498286,1.6917217887436833,-0.08909794566487017,0.7691727314959778,1.0,0
top10 + ac0.50 + mom84 + gf0.90,0.19523708318364164,0.08089302739562712,2.245853309284542,3.322073555467353,-0.052147691652382186,3.7439257040387695,1.6803698792591504,-0.08928077388734326,0.775907668119276,1.0,0
cap11 + top10 + ac0.50 + mom84,0.20715499238172863,0.08536286558653759,2.248913744459213,3.3303066806826314,-0.05506812956301155,3.761794599264392,1.6756881042512664,-0.09550537998176604,0.8162432951176312,1.0000000000000002,0
cap11 + top10 + ac0.45 + mom84,0.20612951443293426,0.08477313357203771,2.253934552185001,3.3428016505186964,-0.05406139905314912,3.8128779136900093,1.6868968403954294,-0.09512394396048045,0.8126546448177165,1.0000000000000002,0
cap12 + top10 + ac0.50 + mom84,0.21519813528115028,0.08764586764937546,2.268410082973043,3.3528575055901855,-0.05691243785295542,3.7812145007240314,1.6845267071365517,-0.09918530135653877,0.8312276540096067,1.0000000000000002,0
cap12 + top10 + ac0.45 + mom84,0.21369695861952231,0.08698638184301048,2.2707243393357395,3.364272754375267,-0.0557561016510944,3.832709825316989,1.6846216788874138,-0.09880972755839101,0.8279234598442361,1.0000000000000002,0
cap11 + top11 + baseline,0.20619468718705347,0.08482786448414831,2.2531645684004653,3.4615027783991197,-0.06538675195792541,3.153462758323492,1.688988224073666,-0.09448465962899716,0.8382885241219149,1.0000000000000002,0
cap12 + top11 + baseline,0.21166887534700662,0.08611092336519714,2.2734873359357577,3.4962755168475876,-0.06512348091503536,3.2502696780469185,1.6931391847450663,-0.09692553218243502,0.8456633833200211,1.0000000000000002,0
